Month,Year,Advisors,Hire decision,Hire arrival,Assessments demand,Assessments accepted,Assessments lost,Sprint starts,Retainer starts,Renewal starts,Retainers active,Board readouts,FC add-on customers,Advisor capacity hrs,Bench hrs,Project pool hrs,Project delivered hrs,Backlog hrs,Backlog weeks,Utilization,Revenue: Readiness Assessment,Revenue: Prioritization & Attack Narrative Sprint,Revenue: Remediation Program Retainer,Revenue: Board Readout & Insurance Attestation,Revenue: Falcon Complete Continuous-Remediation Add-on,Gross revenue,Flex program margin,Net revenue,Advisor labor,Bench cost,Add-on delivery cost,Direct cost,Gross margin,Gross margin %,Sales/SE overhead,Travel,Contribution margin,Practice lead,Marketing,Training,Tooling,Insurance/legal,Fixed opex,EBITDA,Collections,Cash out,Net cash,Cumulative cash,Revenue left on table
1,1,2,0,0,1,1,0,0,0,0,0,0,0.5000,109.6667,0,260,106.6667,153.3333,6.0588,0.3500,34871.7949,0,0,0,4750,39621.7949,2377.3077,37244.4872,44166.6667,0,1662.5000,45829.1667,-8584.6795,-0.2305,4469.3385,2234.6692,-15288.6872,5833.3333,5000,3000,3000,3750,20583.3333,-35872.0205,0,73116.5077,-73116.5077,-73116.5077,0
2,1,2,0,0,1,1,0,0.6500,0,0,0,0,1,109.6667,0,599.6667,103.6667,496,19.5988,0.3500,23360.1288,10487.6783,0,0,9500,43347.8072,2600.8684,40746.9388,44166.6667,0,3325,47491.6667,-6744.7279,-0.1655,4889.6327,2444.8163,-14079.1769,5833.3333,5000,3000,3000,3750,20583.3333,-34662.5102,18622.2436,75409.4490,-56787.2054,-129903.7131,0
3,1,2,0,0,1,0,1,0.6500,0,0,0,0,1.5000,109.6667,0,775.5000,100.6667,674.8333,26.6651,0.3500,14508.4715,18326.2645,0,0,14250,47084.7361,2825.0842,44259.6519,44166.6667,0,4987.5000,49154.1667,-4894.5147,-0.1106,5311.1582,2655.5791,-12861.2521,5833.3333,5000,3000,3000,3750,20583.3333,-33444.5854,38995.7130,77704.2373,-38708.5244,-168612.2375,533592.9116
4,1,2,0,0,2,0,2,0,0.3575,0,0.3575,0.2600,2,172.3333,240,824.7596,400.3333,424.4263,10.6722,0.5500,47209.2239,74355.5856,5908.6399,3028.8583,19000,149502.3076,8970.1385,140532.1691,44166.6667,39600,6650,90416.6667,50115.5024,0.3566,16863.8603,8431.9301,24819.7120,5833.3333,5000,3000,3000,3750,20583.3333,4236.3787,42503.2953,136295.7904,-93792.4951,-262404.7326,1067185.8232
5,1,2,0,0,2,2,0,0,0.3575,0,0.7150,0.2600,2.5000,172.3333,240,1038.7055,397.3333,641.3722,16.1273,0.5500,84175.3007,30154.8156,11709.1581,3615.3207,23750,153404.5951,9204.2757,144200.3194,44166.6667,39600,8312.5000,92079.1667,52121.1527,0.3614,17304.0383,8652.0192,26165.0952,5833.3333,5000,3000,3000,3750,20583.3333,5581.7619,92395.9105,138618.5575,-46222.6470,-308627.3795,0
6,1,2,0,0,2,0,2,1.3000,0,0,0.7150,0,3,172.3333,240,1089.0781,394.3333,694.7448,17.4694,0.5500,49197.6398,61556.8433,15658.7177,2113.0337,28500,157026.2344,9421.5741,147604.6603,44166.6667,39600,9975,93741.6667,53862.9937,0.3649,17712.5592,8856.2796,27294.1548,5833.3333,5000,3000,3000,3750,20583.3333,6710.8215,142366.2443,140893.8389,1472.4054,-307154.9741,1067185.8232
7,1,2,0,0,3,0,3,0,0,0,0.7150,0,4.5000,219.3333,240,956.1174,432.3333,523.7840,10.3483,0.7000,39193.4586,76471.4688,23483.1319,1683.3551,42750,183581.4144,11014.8849,172566.5295,44166.6667,39600,14962.5000,98729.1667,73837.3629,0.4279,20707.9835,10353.9918,42775.3876,5833.3333,5000,3000,3000,3750,20583.3333,22192.0542,145902.4899,150374.4753,-4471.9855,-311626.9596,1600778.7349
8,1,2,0,0,3,3,0,0,0.7150,0,1.4300,0.5200,6,219.3333,240,1492.3425,423.3333,1069.0092,21.1202,0.7000,85805.7374,26281.3046,21882.8919,4118.7324,57000,195088.6663,11705.3200,183383.3464,44166.6667,39600,19950,103716.6667,79666.6797,0.4344,22006.0016,11003.0008,46657.6774,5833.3333,5000,3000,3000,3750,20583.3333,26074.3440,160085.5949,157309.0023,2776.5926,-308850.3670,0
9,1,2,0,0,3,0,3,1.9500,0,0,1.4300,0,7.5000,219.3333,240,1778.0877,414.3333,1363.7544,26.9435,0.7000,50490.7710,57874.7204,24222.7605,2423.5906,71250,206261.8424,12375.7105,193886.1318,44166.6667,39600,24937.5000,108704.1667,85181.9652,0.4393,23266.3358,11633.1679,50282.4614,5833.3333,5000,3000,3000,3750,20583.3333,29699.1281,177974.9380,164187.0037,13787.9342,-295062.4328,1600778.7349
10,1,2,0,0,3,0,3,0,0,0,1.4300,0,9,219.3333,240,1793.3329,405.3333,1387.9995,27.4225,0.7000,37562.0854,63623.3329,29025.6393,1803.0051,85500,217514.0627,13050.8438,204463.2189,44166.6667,39600,29925.0000,113691.6667,90771.5522,0.4440,24535.5863,12267.7931,53968.1728,5833.3333,5000,3000,3000,3750,20583.3333,33384.8395,188634.7391,171078.3794,17556.3597,-277506.0731,1600778.7349
